CustomerID,Cluster
C0001,1
C0002,2
C0003,1
C0004,0
C0005,2
C0006,1
C0007,2
C0008,3
C0009,7
C0010,5
C0011,1
C0012,0
C0013,0
C0014,7
C0015,4
C0016,4
C0017,5
C0018,4
C0019,5
C0020,4
C0021,6
C0022,6
C0023,5
C0024,3
C0025,1
C0026,4
C0027,2
C0028,6
C0029,4
C0030,4
C0031,1
C0032,7
C0033,7
C0034,3
C0035,4
C0036,4
C0037,5
C0038,4
C0039,0
C0040,2
C0041,0
C0042,4
C0043,2
C0044,5
C0045,6
C0046,3
C0047,3
C0048,1
C0049,3
C0050,4
C0051,5
C0052,1
C0053,5
C0054,6
C0055,4
C0056,2
C0057,5
C0058,7
C0059,3
C0060,7
C0061,5
C0062,5
C0063,5
C0064,5
C0065,3
C0066,5
C0067,3
C0068,3
C0069,5
C0070,5
C0071,1
C0072,4
C0073,5
C0074,5
C0075,0
C0076,1
C0077,7
C0078,2
C0079,4
C0080,2
C0081,5
C0082,0
C0083,7
C0084,6
C0085,1
C0086,5
C0087,0
C0088,2
C0089,5
C0090,6
C0091,1
C0092,2
C0093,6
C0094,4
C0095,1
C0096,0
C0097,7
C0098,3
C0099,0
C0100,5
C0101,6
C0102,0
C0103,5
C0104,0
C0105,5
C0106,2
C0107,1
C0108,0
C0109,3
C0110,2
C0111,5
C0112,1
C0113,0
C0114,5
C0115,2
C0116,4
C0117,4
C0118,1
C0119,7
C0120,1
C0121,7
C0122,3
C0123,2
C0124,5
C0125,4
C0126,1
C0127,5
C0128,7
C0129,1
C0130,7
C0131,4
C0132,5
C0133,1
C0134,2
C0135,5
C0136,6
C0137,1
C0138,6
C0139,3
C0140,2
C0141,0
C0142,2
C0143,6
C0144,4
C0145,6
C0146,2
C0147,1
C0148,0
C0149,5
C0150,7
C0151,7
C0152,1
C0153,0
C0154,3
C0155,0
C0156,3
C0157,4
C0158,1
C0159,2
C0160,4
C0161,6
C0162,6
C0163,0
C0164,5
C0165,0
C0166,5
C0167,5
C0168,1
C0169,0
C0170,5
C0171,0
C0172,5
C0173,6
C0174,1
C0175,6
C0176,4
C0177,2
C0178,2
C0179,5
C0181,1
C0182,5
C0183,4
C0184,1
C0185,4
C0186,2
C0187,1
C0188,0
C0189,4
C0190,1
C0191,1
C0192,1
C0193,2
C0194,3
C0195,1
C0196,5
C0197,5
C0198,7
C0199,5
C0200,6
